Kategoria,Sensitivity,Specificity,Precision,Recall,F1
1_Male (0-15m),0.9328411836825374,0.14204650963023974,0.5003814224814898,0.9328411836825374,0.6513662238271504
2_Srednie (16-45m),0,1,NA,0,NA
3_Duze (>45m),0.18325279476698464,0.9177636282510462,0.4085479934084179,0.18325279476698464,0.25301609286247306
