Zmienna,Wspolczynnik_Logit,Iloraz_Szans_OR,CI_Dolne_95_OR,CI_Gorne_95_OR,P_value,P_value_opis
wspd,9.487019512572274e-4,1.000949152111298,1.0003364626609954,1.0015622168237015,0.0023905781150547214,0.002
wdir_catPoludnie,0.0011686875520798288,1.001169370733493,0.9924906272985436,1.009924004645932,0.7924757695100655,0.792
wdir_catWschod,0.036066725190913,1.0367250198579694,1.0273320162710777,1.0462039046546217,8.043845799723116e-15,<0.001
wdir_catZachod,-0.010209289952770616,0.9898426479479316,0.981548315399652,0.9982070697127502,0.017407208767082336,0.017
pres,-0.009042380607501142,0.9909983787695722,0.9909846525965863,0.9910121051326799,0,<0.001
tavg,-6.082728107250626e-4,0.999391912149677,0.9988729666674437,0.9999111272401814,0.02171099430334511,0.022
prcp,0.013002781352859016,1.01308768511022,1.0127268068377657,1.0134486919791788,0,<0.001
snow,8.303868278099377e-4,1.0008307316944027,1.0007363776571152,1.0009250946278239,8.935070742246331e-67,<0.001
Dep_AirportABQ,-0.007892165447899764,0.9921388959222912,0.9912308625917226,0.9930477610717233,5.008426630813154e-64,<0.001
Dep_AirportANC,-0.41947147624154074,0.6573941764547817,0.656737217498538,0.6580517925917954,0,<0.001
Dep_AirportBDL,-0.034063216480091564,0.9665104033205522,0.9657619974351529,0.9672593891742777,0,<0.001
Dep_AirportBHM,0.1669297159592849,1.1816712097622373,1.1808299449190303,1.182513073952149,0,<0.001
Dep_AirportBNA,0.02151121355170869,1.0217442476550973,1.0027711908392485,1.04107628654804,0.02448858381963887,0.024
Dep_AirportBOI,-0.0026532966981136384,0.9973502201824404,0.9968310863693071,0.9978696243522265,1.7127382352657336e-23,<0.001
Dep_AirportBOS,0.08561310602629937,1.0893847703585797,1.071648364380493,1.1074147242087813,1.5741358747532166e-24,<0.001
Dep_AirportBTV,0.1323350374913241,1.1414906973877776,1.1408825031328997,1.1420992158655716,0,<0.001
Dep_AirportBWI,0.0683041931691337,1.0706909558214288,1.0529914488575243,1.0886879699940624,9.635891589510066e-16,<0.001
Dep_AirportBZN,0.2699575568593674,1.3099088529077227,1.30932163535186,1.3104963338247402,0,<0.001
Dep_AirportCHS,0.04821440392555456,1.049395625747958,1.0481647229535704,1.0506279740419469,0,<0.001
Dep_AirportCLE,0.11074735380717861,1.117112636944074,1.1152917640593942,1.1189364826634585,0,<0.001
Dep_AirportCLT,-0.033836392709948336,0.9667296557190037,0.9533720346883829,0.9802744293334068,1.8746760127243083e-6,<0.001
Dep_AirportCRW,0.27928526396794967,1.3221844616638183,1.3217667221752087,1.3226023331774497,0,<0.001
Dep_AirportCVG,0.024944917624727954,1.0252586452875974,1.022368305701095,1.0281571561592213,3.412400859290389e-67,<0.001
