Nazwa_Modelu,df,Wartosc_AIC
m1: Sama pogoda,6,3182330.474244631
m2: + 50 Lotnisk,54,3169354.1010218994
m3: + Miesiac i Pora,68,3134259.598975562
m4: Pelny (+Linie),82,3115249.837525925
